indexid,filename,title,creator,date,description,subject,place,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
test001,test001.jpg,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/ 
test002,test002.jpg,Noll Aduitorium [Bryan Hall],Patton Post Card Co.,1915-11-03,Photographic postcard of Bryan Hall on the Washington State University campus (mislabeled 'Noll Aduitorium'). Card is damaged and held together with tape.,universities;buildings;clock towers (towers);picture postcards,"Pullman, Washington",46.731643,-117.165625,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Postcard_023,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/ 
test003,test003.jpg,University farms,,1895,1895 photograph of University Farms. Moscow in background. [PG1_105-15],campuses;farms;horse-drawn vehicles,"Moscow, Idaho",46.729654,-117.024232,"PG 1, University of Idaho Campus Photographs, University of Idaho Library Special Collections and Archives",PG1_105-15,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/ 
test004,test004.jpg,"University farms, University of Idaho in distance",,1900,1900 photograph of University Farms. Spanish American War Memorial in background. [PG1_105-16],campuses;farms;fields (land),"Moscow, Idaho",46.729654,-117.024232,"PG 1, University of Idaho Campus Photographs, University of Idaho Library Special Collections and Archives",PG1_105-16,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/ 
test005,test005.jpg,"Administration Building, Washington State College",Johnson,1905,"Photographic postcard of the administration building on the Washington State University campus in Pullman, Washington",universities;buildings;campuses;picture postcards,"Pullman, Washington",46.731465,-117.167398,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_76_02,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/ 
test006,test006.pdf,"Tacoma High School, Tacoma, Washington",Central News Company,1909-07-17,"Postcard is of a Tacoma, Washington High School, now named Stadium High School. Postmark 7/17/1909, Tacoma, WA. Destination Helena, MT.",high schools (buildings);historic buildings;trees;horse-drawn vehicles;picture postcards;flagpoles;flags,"Tacoma, Washington",47.265893,-122.448445,"PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives",Postcard_044,Image;StillImage,application/pdf,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/ 
test007,test007.pdf,"Pierce County Court House, Tacoma, Washington",Portland Post Card Co.,1911-02-23,"Postcard is of the old Pierce County Courthouse in Tacoma, Washington. The building was demolished in 1959. Postmark 2/23/1911, Tacoma, WA. Destination Los Angeles, CA.",public buildings;county courthouses;trees;historic buildings;picture postcards,"Tacoma, Washington",47.254744,-122.44638,"PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives",Postcard_041,Image;StillImage,application/pdf,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/ 
test008,test008.pdf,"Spokane County Court House, Spokane, Washington",Spokane Post Card Co.,1912-09-08,"Postcard is of the Spokane County Courthouse in Spokane, Washington. Postmark 9/8/1912, Spokane, WA. Destination San Francisco, CA.",public buildings;county courthouses;trees;picture postcards,"Spokane, Washington",47.66432,-117.428031,"PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives",Postcard_032,Image;StillImage,application/pdf,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/ 
test009,test009.pdf,"Whatcom County Court House, Bellingham, Washington","Sandison, Lowman & Hanford Co.",1920,"Postcard of the Whatcom County Courthouse in Bellingham, Washington.",public buildings;county courthouses;trees;picture postcards,"Bellingham, Washington",48.754334,-122.480156,"PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives",Postcard_018,Image;StillImage,application/pdf,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/ 
test010,test010.pdf,"Hotel Seattle, Seattle, Washington",,1901,"Postcard is of the Seattle Hotel in Seattle, Washington.",hotels (public accommodations);buildings;men;streetcars;photographic,"Seattle, Washington",47.601702,-122.334084,"PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives",Postcard_030,Image;StillImage,application/pdf,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/ 
